Fullname,Nationality,Gender,Passport_Number,Age,BMI,Systolic_BP,Diastolic_BP,Total_Cholesterol,HDL_Cholesterol,Num_Critical_Diseases,ICD_E08_E13_Diabetes,ICD_I10_I15_Hypertension,ICD_I20_I50_HeartDisease,ICD_J40_J47_Respiratory,ICD_N18_KidneyDisease,Smoker,Needs_Walking_Assist,Uses_Oxygen,Takes_Diuretics,Takes_Beta_Blockers,CVD_Risk_Score,Triage_Category
Thomas Nguyen,Samoa,F,6834899103184,51,32.5,139,94,212,68,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Stephen Carter,Brazil,M,7812979738203,59,34.1,152,80,171,31,1,0,1,0,0,0,1,0,0,0,0,25.0,Orange
Dale Moss,Tunisia,M,2191706457231,58,24.8,158,92,154,72,1,0,1,0,0,0,0,0,0,0,0,10.0,Orange
Christina Nguyen,Jersey,M,7609062591384,51,24.9,157,84,178,66,1,0,1,0,0,0,0,0,0,0,0,7.5,Orange
Madeline Coleman MD,Ethiopia,M,3425336756983,75,29.9,124,92,216,69,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Joy Kennedy,Czech Republic,F,7779339496329,61,50.6,121,84,234,75,1,1,0,0,0,0,0,0,0,0,0,17.5,Orange
Lindsay Dean,Dominican Republic,F,4499106135192,54,29.3,141,95,233,33,3,0,1,1,0,1,0,0,0,1,1,17.5,Orange
Alexa Walker,Korea,M,3321649668558,58,33.3,128,94,188,43,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Kenneth Martin,Namibia,F,6104578615780,60,24.9,129,93,162,65,0,0,0,0,0,0,1,0,0,0,0,15.0,Orange
Sheryl Reese,Saint Helena,F,0613831902308,56,34.0,149,83,168,60,1,0,1,0,0,0,0,0,0,1,0,12.5,Orange
Sarah Chavez,Mali,F,1920138681263,52,21.0,124,89,253,68,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Dylan Price,Saint Helena,M,8383605788095,38,48.7,142,94,132,67,1,0,1,0,0,0,0,0,0,1,0,2.5,Orange
Steven Hernandez,Antigua and Barbuda,M,9851070687025,46,24.6,114,85,238,72,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Ashley Tran,Dominica,F,2253837857349,42,20.7,101,67,242,64,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Jason Burke,Oman,F,9479227770767,62,35.1,124,90,257,45,0,0,0,0,0,0,1,0,0,0,0,25.0,Red
Ernest Schroeder,Comoros,M,3560624836838,57,19.5,160,91,217,50,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Eric Mcdonald,Cyprus,M,0633761203450,18,42.6,129,95,213,33,1,0,0,0,1,0,0,0,0,0,0,7.5,Green
Tammy Villarreal,Congo,M,5327347683419,53,30.3,143,95,242,54,1,0,1,0,0,0,0,0,0,1,0,17.5,Orange
Carol Foster,Kazakhstan,M,2564083271583,21,34.5,142,89,140,53,1,0,1,0,0,0,0,0,0,0,0,5.0,Green
Sierra Jacobs,Greenland,F,0392386558993,32,25.8,109,69,140,74,1,0,1,0,0,0,1,0,0,1,0,5.0,Orange
Barbara Wall,Uganda,M,8606838795518,70,23.7,154,80,162,61,2,0,1,1,0,0,0,0,0,1,0,17.5,Orange
Elizabeth Sutton,Palau,M,8404796146911,71,41.0,146,87,272,46,2,1,1,0,0,0,0,0,0,0,0,35.0,Red
Lisa Hernandez,Montserrat,M,1090139315655,48,39.5,160,80,189,61,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
James Parrish DDS,Ecuador,F,3408160716743,66,25.5,148,80,158,34,1,0,1,0,0,0,0,0,0,1,0,22.5,Red
Jonathan Black,Bangladesh,F,2698475672136,57,31.5,128,85,181,50,1,0,0,0,1,0,0,0,0,0,0,7.5,Green
Marie Ross,Cambodia,M,2399645302401,23,45.0,126,92,218,57,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Anthony Cox,Puerto Rico,F,7004428224959,29,31.2,146,81,142,42,1,0,1,0,0,0,0,0,0,0,0,5.0,Green
April Lewis,Saint Pierre and Miquelon,F,9040156552160,36,29.9,111,85,183,43,2,1,0,1,0,0,0,0,0,1,1,7.5,Orange
Michael Dominguez,Israel,F,3891180083733,57,19.1,136,88,247,69,0,0,0,0,0,0,0,0,0,0,0,15.0,Orange
Ruth Wilson,Afghanistan,F,6515549627754,47,32.1,140,81,212,40,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Benjamin Harmon,Anguilla,F,1255393278027,50,23.5,118,72,247,43,0,0,0,0,0,0,1,0,0,0,0,20.0,Orange
Morgan Reynolds,Bosnia and Herzegovina,M,1488928244468,61,38.5,158,89,170,34,2,1,1,0,0,0,0,0,0,1,0,27.5,Red
Alan Young,United Kingdom,M,6275797467167,49,32.7,127,81,255,34,0,0,0,0,0,0,0,0,0,0,0,15.0,Orange
Abigail Marshall,New Caledonia,M,1114078278113,64,19.6,141,90,214,35,1,0,1,0,0,0,1,0,0,1,0,30.0,Red
Johnny Schmitt,Fiji,M,5252924876963,69,22.2,137,91,230,49,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Anthony Pena,British Indian Ocean Territory (Chagos Archipelago),F,7441228005591,80,23.4,160,89,273,68,1,0,1,0,0,0,0,0,0,0,0,30.0,Red
Jonathan Clements,Libyan Arab Jamahiriya,F,1286020762107,63,17.7,123,89,227,69,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Valerie Silva,Azerbaijan,F,1253349048168,56,29.4,155,91,209,63,2,0,1,0,0,1,0,0,0,1,0,12.5,Orange
Derrick White,Finland,F,9785689851532,48,24.6,107,71,193,64,0,0,0,0,0,0,1,0,0,0,0,7.5,Green
Gabriel Clements,Suriname,F,2529450210480,34,38.1,137,90,136,68,1,0,0,0,0,1,1,0,0,0,0,7.5,Green
Adam Nash,Sri Lanka,F,9668904047838,60,44.3,120,80,161,65,1,0,0,0,0,1,0,0,0,0,0,7.5,Orange
Mrs. Melanie Barajas,American Samoa,M,3677757564139,31,31.6,149,94,148,43,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Victoria Ray PhD,Oman,F,1402356956120,55,19.7,157,80,245,45,1,0,1,0,0,0,1,0,0,1,0,27.5,Orange
Tammy Hahn,Saint Martin,M,4806187856104,66,34.9,154,86,176,47,3,1,1,1,0,0,0,0,0,1,1,25.0,Red
Mrs. Julie Matthews,Sudan,F,9684301656053,65,18.3,135,80,218,32,0,0,0,0,0,0,0,0,0,0,0,22.5,Red
Regina Garrett,Tuvalu,F,6012683853495,71,16.1,145,93,264,30,1,0,1,0,0,0,0,0,0,0,0,32.5,Red
Edgar Houston,Turkmenistan,M,4664403604744,57,40.7,193,89,208,53,1,0,1,0,0,0,1,0,0,1,0,27.5,Red
Anthony Montoya,France,F,8245338001561,76,24.0,129,83,212,65,1,1,0,0,0,0,0,0,0,0,0,25.0,Red
Shelley Mora,Algeria,F,3179764096912,22,36.3,146,94,194,64,1,0,1,0,0,0,0,0,0,1,0,2.5,Orange
Ms. Jeanne Benson,Mali,F,0886356940784,38,30.3,131,81,188,33,1,0,0,1,0,0,0,0,0,1,1,7.5,Orange
John Waller,Haiti,M,9545905829888,35,28.7,108,84,213,75,1,0,1,0,0,0,0,0,0,0,0,1.0,Green
Caroline Cruz,Marshall Islands,F,2193843474041,58,18.2,130,93,214,68,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Tonya Taylor,Congo,M,9288610830441,31,23.1,115,65,156,35,1,0,1,0,0,0,1,0,0,0,0,12.5,Green
Charles Cook,Bosnia and Herzegovina,M,8881093438534,58,24.7,130,89,233,39,1,1,0,0,0,0,0,0,0,0,0,22.5,Orange
Jessica Hughes DVM,Korea,M,7739503978655,22,33.7,140,90,209,50,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Erica Coffey,Brazil,M,4450118436752,62,40.1,151,80,158,63,1,0,1,0,0,0,0,0,0,0,0,12.5,Orange
Cristian Wilson,Grenada,F,9823181204125,32,35.8,158,95,206,75,1,0,1,0,0,0,1,0,0,0,0,12.5,Orange
Daniel Parrish,Dominica,M,4069334533765,80,28.7,123,89,167,55,1,1,0,0,0,0,0,0,0,0,0,27.5,Red
Ronald Sosa,Singapore,F,7426166222644,44,28.9,106,70,250,63,0,0,0,0,0,0,1,0,0,0,0,12.5,Green
Austin Friedman,Palestinian Territory,F,5652668429430,37,29.1,108,83,186,61,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Janet Jones,Oman,M,4960933761750,60,18.6,154,86,267,74,1,0,1,0,0,0,0,0,0,0,0,20.0,Orange
Jeffrey Wilson,Guernsey,M,4584608611531,57,34.2,147,88,224,46,2,0,1,1,0,0,0,0,0,1,1,15.0,Orange
Nicholas Guzman,Cocos (Keeling) Islands,M,6810595765673,51,19.8,132,88,205,56,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Robert Morales,Peru,M,3263701591056,29,41.2,134,91,166,64,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Mario Holden,Western Sahara,M,7095527841062,78,26.7,123,90,203,40,1,1,0,0,0,0,0,0,0,0,0,27.5,Red
Diane Roberson,Cambodia,F,7953153429828,54,23.2,141,88,256,38,1,0,1,0,0,0,0,0,0,1,0,22.5,Orange
Joseph Roberson,Guernsey,F,5696062310734,31,46.7,148,94,162,54,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Kellie Atkinson,Bhutan,F,0509906782510,29,36.9,143,90,169,37,1,0,1,0,0,0,0,0,0,0,0,10.0,Green
Kristina Tucker,Georgia,M,8132823501012,59,19.8,126,86,212,47,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Jenny Guerrero,Andorra,F,2430106575757,61,50.2,139,81,249,31,0,0,0,0,0,0,0,0,0,0,0,25.0,Red
Bryan Woodward,Andorra,F,9157774181013,55,25.5,123,80,257,36,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
Andrew Whitaker,Oman,F,7192031455287,57,29.8,125,94,200,52,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Sharon Wilson,Kyrgyz Republic,M,3119441616569,61,40.6,159,86,159,54,2,0,1,1,0,0,0,0,0,1,1,15.0,Orange
Tanya Hoffman,Saint Kitts and Nevis,F,5607655231077,65,36.5,141,93,214,68,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Michelle Herrera,Albania,M,2159530471106,64,34.0,120,82,207,34,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Jennifer Price,Timor-Leste,M,7480038032618,31,23.8,127,74,189,60,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Mary Riley,Cook Islands,F,3984245404700,48,46.8,149,93,232,53,1,0,1,0,0,0,0,0,0,0,0,10.0,Green
Ashley Owens,Saint Helena,F,3904933930229,59,18.0,139,86,274,38,0,0,0,0,0,0,0,0,0,0,0,22.5,Orange
Kimberly Ortiz,Antarctica (the territory South of 60 deg S),F,9917466000073,65,22.5,130,85,230,40,0,0,0,0,0,0,1,0,0,0,0,22.5,Red
Alexis Lawson,Hong Kong,M,7302143870841,52,39.0,127,89,241,42,0,0,0,0,0,0,0,0,0,0,0,12.5,Orange
Jeremiah Arroyo,Botswana,M,8726587738564,27,25.7,126,75,163,60,0,0,0,0,0,0,1,0,0,0,0,7.5,Green
Thomas Everett,Germany,M,2219713587519,60,35.1,136,90,150,35,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Cynthia Donaldson,Bouvet Island (Bouvetoya),M,3595069042353,33,27.7,103,65,213,33,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Rachel Lewis,Antigua and Barbuda,F,4559603616355,86,37.8,132,87,174,32,1,0,0,1,0,0,0,0,0,1,0,30.0,Red
Lisa Edwards,Jordan,F,2315754645734,39,27.3,113,78,137,70,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Luis Martinez,Belgium,M,9510602756294,58,18.3,123,95,165,58,1,0,1,0,0,0,0,0,0,0,0,7.5,Green
Nathaniel Baker,Costa Rica,F,5155741147288,56,35.7,120,85,176,38,0,0,0,0,0,0,0,0,0,0,0,12.5,Orange
Cristina Martin,Iran,M,5348862020275,37,23.6,106,79,191,31,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Veronica Salazar,Latvia,M,0613798065153,44,29.9,104,70,181,37,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Ryan Hill,Guam,F,0730155761098,61,19.8,138,81,239,56,0,0,0,0,0,0,0,0,0,0,0,15.0,Orange
Darren Yu MD,Montserrat,F,4807347057584,66,23.8,143,87,273,48,1,0,1,0,0,0,1,0,0,1,0,32.5,Red
Nicholas Miller,Angola,F,5500434119576,29,34.4,124,94,137,52,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Stephanie Munoz,Aruba,F,9396762823218,37,32.4,149,81,189,49,3,0,1,1,0,1,0,0,0,0,0,5.0,Orange
Kelsey Holmes,Sao Tome and Principe,F,5436761759683,41,23.7,113,85,180,50,1,0,0,1,0,0,0,0,0,0,1,1.0,Orange
Robert Edwards,Anguilla,M,3250387752208,76,36.3,152,89,190,71,2,1,1,0,0,0,0,0,0,1,0,27.5,Red
Melanie Smith,Mauritania,M,1063645428232,62,34.9,148,90,165,66,2,1,1,0,0,0,0,0,0,1,0,20.0,Orange
Mrs. Joy Taylor,Mayotte,F,4883634991939,66,30.3,130,92,261,59,0,0,0,0,0,0,1,0,0,0,0,27.5,Red
Jonathan Sanders,Wallis and Futuna,M,6613929325075,85,22.1,131,89,278,46,0,0,0,0,0,0,0,0,0,0,0,32.5,Red
Melissa Turner,Bolivia,M,6249418487926,32,23.1,109,79,190,59,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Diana Davis,Comoros,M,3961455876046,72,19.4,154,92,262,60,2,0,1,1,0,0,0,0,0,1,1,27.5,Red
Cameron Rasmussen,South Africa,F,8527752407403,52,35.7,159,83,252,43,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Terry Davis,Madagascar,M,0813037880251,46,32.4,159,95,223,36,1,0,1,0,0,0,1,0,0,1,0,22.5,Orange
Taylor Garcia,Mayotte,F,5673939103484,21,35.4,127,91,152,74,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Jessica Adams,Guinea-Bissau,M,7311845838530,48,44.6,144,91,202,65,1,0,1,0,0,0,0,0,0,0,0,7.5,Green
Diana Johnson,Japan,M,3850616553233,73,24.9,135,92,234,71,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Brenda Butler,Syrian Arab Republic,F,9173842521086,52,35.3,123,82,172,31,0,0,0,0,0,0,0,0,0,0,0,10.0,Orange
Mr. Cody Banks,Guadeloupe,F,2494308841195,35,28.4,123,73,150,68,0,0,0,0,0,0,1,0,0,0,0,5.0,Green
Jason Morris,American Samoa,M,4640930721048,76,24.0,136,83,190,69,2,1,1,0,0,0,0,0,0,0,0,25.0,Red
Kelly Kelly,Denmark,M,6157822671742,53,21.8,147,94,259,41,1,0,1,0,0,0,0,0,0,1,0,17.5,Orange
Darin Stanton,Japan,F,9496245843563,74,23.7,151,90,223,41,1,0,1,0,0,0,0,0,0,1,0,22.5,Red
Kayla Odonnell,British Virgin Islands,F,8669677523179,57,22.2,136,84,154,63,1,1,0,0,0,0,0,0,0,0,0,15.0,Orange
Carmen Johnson,Kuwait,M,3056101155740,44,23.0,103,66,259,46,1,0,1,0,0,0,0,0,0,0,0,7.5,Green
Whitney Bolton,Bermuda,F,1400580052168,46,27.4,106,81,167,50,1,0,0,1,0,0,0,0,0,0,1,2.5,Orange
Audrey Hatfield,Suriname,M,1481966622267,60,34.6,141,81,221,74,1,0,1,0,0,0,1,0,0,0,0,22.5,Red
Kevin Ball,Vietnam,M,3658186497052,53,36.9,144,88,195,71,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Regina Pruitt,Poland,M,5599726332144,39,28.7,103,69,156,53,0,0,0,0,0,0,1,0,0,0,0,7.5,Green
Laura Owen,Mauritius,F,0452215546901,42,28.8,130,82,171,58,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Brenda Schmidt,Cape Verde,F,3250138716190,45,19.0,120,75,203,63,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Erica Kim,Antigua and Barbuda,M,0734934214560,56,21.4,140,95,278,69,1,0,1,0,0,0,1,0,0,1,0,22.5,Orange
Jessica Lambert,Nauru,M,9772481299716,61,27.7,160,95,260,56,1,0,1,0,0,0,1,0,0,0,0,30.0,Red
Jennifer Scott,Cote d'Ivoire,F,5918211119921,38,29.4,122,69,145,72,1,0,1,0,0,0,1,0,0,0,0,5.0,Green
Michael Parker,Cuba,M,0355055803084,55,35.4,141,83,271,46,1,0,1,0,0,0,1,0,0,1,0,27.5,Orange
Wendy Luna,India,M,2756717693339,57,21.1,152,82,182,39,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Catherine Williams,Uganda,M,8506502647634,65,43.6,136,90,266,51,0,0,0,0,0,0,0,0,0,0,0,22.5,Red
Susan Kelly,Grenada,M,3893056593636,78,35.7,154,91,250,37,2,1,1,0,0,0,1,0,0,1,0,45.0,Red
Melissa Doyle,Mexico,M,1891943992021,62,28.1,142,91,260,45,1,0,1,0,0,0,0,0,0,1,0,22.5,Red
Alejandro Lopez,Azerbaijan,M,5500266450199,65,28.0,159,89,246,50,1,0,1,0,0,0,1,0,0,1,0,32.5,Red
Joseph Morris,Bahamas,M,2724545182042,46,21.1,113,71,269,45,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Kimberly Bowman,Barbados,F,6151196983173,47,31.1,147,83,185,75,2,0,1,0,0,1,1,0,0,1,0,12.5,Orange
Cheryl Cox,Bolivia,M,2314373963304,55,36.4,156,81,176,55,2,1,1,0,0,0,0,0,0,1,0,20.0,Orange
Ashley Cunningham,Greece,F,7414114795371,40,35.8,141,86,138,43,1,0,1,0,0,0,1,0,0,0,0,12.5,Green
Christopher Malone,Myanmar,F,0581551858598,42,30.8,126,93,264,71,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
David Joseph,Argentina,M,7467426922133,56,22.4,140,84,215,66,1,0,1,0,0,0,0,0,0,1,0,10.0,Orange
Amy Mendez,Ukraine,F,7865139391459,56,29.2,126,87,156,55,1,0,0,0,0,1,0,0,0,0,0,7.5,Green
Jacob Morrison,Guadeloupe,F,3668816049599,71,21.4,131,94,234,33,0,0,0,0,0,0,0,0,0,0,0,25.0,Red
Richard Drake,Peru,F,3581795141804,40,24.1,123,70,134,73,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Keith Moreno,North Macedonia,F,8093077023197,33,23.5,129,72,135,38,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Donna Sharp,Christmas Island,F,0220936544793,64,27.2,152,89,181,40,2,1,1,0,0,0,1,0,0,0,0,30.0,Red
Laura Schroeder,El Salvador,F,7857603722890,55,20.1,120,92,218,41,1,0,0,0,0,1,0,0,0,0,0,10.0,Green
Michael Hughes,Togo,M,6563518937618,38,26.6,104,80,163,64,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Matthew Velez,Portugal,F,7082810990330,29,21.3,123,67,143,49,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Karen Shaw,Albania,M,6124670679879,58,19.1,141,81,178,56,1,0,1,0,0,0,0,0,0,0,0,12.5,Green
Justin Evans,Bolivia,M,2160275335141,58,28.0,134,90,177,30,1,0,0,0,0,1,0,0,0,0,0,15.0,Orange
Diana Johnson,Tuvalu,M,6920168747064,58,29.3,134,81,214,36,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Ebony Barnes,Papua New Guinea,F,2952549780135,68,19.4,140,86,163,49,2,0,1,1,0,0,0,0,0,0,1,15.0,Orange
Eric Bailey,Benin,F,0447650525154,18,17.7,110,77,214,38,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Amanda Nixon MD,Gibraltar,M,9540612744271,68,28.3,148,93,262,48,1,0,1,0,0,0,1,0,0,1,0,32.5,Red
Michele Oliver,Czech Republic,F,1679813559587,48,17.8,110,68,232,34,0,0,0,0,0,0,1,0,0,0,0,17.5,Orange
James Thomas,Japan,M,2280195625853,65,41.5,131,82,237,66,1,0,0,1,0,0,0,0,0,1,1,15.0,Orange
Toni Brock,Korea,M,5119884692647,53,43.4,159,87,216,72,1,0,1,0,0,0,1,0,0,1,0,17.5,Orange
Corey Adams,Malaysia,F,5709753336392,80,30.6,154,85,202,74,1,0,1,0,0,0,0,0,0,1,0,25.0,Red
Christopher Hall,Oman,F,6104642344806,60,35.6,153,88,222,35,1,0,1,0,0,0,0,0,0,0,0,22.5,Red
Gregory Miller,Ethiopia,F,4911515128812,73,40.8,144,85,161,50,1,0,1,0,0,0,0,0,0,1,0,20.0,Orange
Stephen Robinson,Nigeria,F,0657734617556,21,28.7,101,70,174,52,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Mr. Anthony Reyes,Tokelau,F,2491808951676,36,40.5,128,90,160,72,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Lee Diaz,French Guiana,M,7058171793323,46,20.2,120,68,264,59,1,0,1,0,0,0,0,0,0,0,0,10.0,Green
Katherine Mcdaniel,Faroe Islands,F,7199806844352,35,19.2,117,67,189,36,0,0,0,0,0,0,1,0,0,0,0,12.5,Green
Timothy Davis,Falkland Islands (Malvinas),F,4511636443155,46,32.8,147,89,190,45,1,0,1,0,0,0,1,0,0,0,0,15.0,Orange
Kyle Abbott,Micronesia,M,1949982696551,63,36.8,148,88,277,47,1,0,1,0,0,0,0,0,0,0,0,22.5,Red
Karen Sandoval,Kuwait,M,0241825300160,54,23.9,129,92,254,61,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Zachary Ware,Gabon,F,0127921162256,40,44.2,147,87,187,41,1,0,1,0,0,0,0,0,0,0,0,5.0,Green
Jared Moore,Micronesia,F,8229167005273,32,31.4,121,94,216,71,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Jonathan Nolan,Turkmenistan,M,1738159062530,38,42.5,160,93,179,49,1,0,1,0,0,0,1,0,0,1,0,12.5,Orange
Misty Mitchell,New Zealand,F,5032036233720,64,39.5,155,82,269,60,2,1,1,0,0,0,0,0,0,0,0,30.0,Red
Jesse Winters,Germany,F,8840332628464,84,28.4,156,86,215,37,1,0,1,0,0,0,0,0,0,0,0,32.5,Red
Melissa Stevenson,Niue,M,8012862641903,56,41.1,128,87,274,48,0,0,0,0,0,0,0,0,0,0,0,15.0,Orange
Chelsea Ward,Montserrat,F,8061926601476,62,20.5,157,80,159,69,1,0,1,0,0,0,1,0,0,0,0,20.0,Orange
Alfred Torres,New Zealand,M,8235536610221,61,31.1,157,84,237,51,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Kristi Ortiz,North Macedonia,F,2821496823557,88,32.5,148,85,258,65,1,0,1,0,0,0,1,0,0,1,0,40.0,Red
Dawn Reynolds,Bolivia,M,2266354655893,49,28.9,126,70,224,33,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Karl Williams,Guadeloupe,F,6110537770483,62,22.6,139,83,216,52,1,1,0,0,0,0,0,0,0,0,0,22.5,Red
Dennis Odom,Bahrain,F,7624477462081,75,37.2,140,94,242,61,2,1,1,0,0,0,0,0,0,0,0,32.5,Red
Jacob Davidson,Swaziland,M,2234811653348,41,30.1,151,87,215,48,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Ashley Hardy,Reunion,F,3108774845814,76,24.4,123,83,209,49,1,0,0,1,0,0,0,0,0,0,1,20.0,Orange
Mr. Joshua Silva,Mali,M,2497360020737,62,32.1,138,94,258,65,1,1,0,0,0,0,0,0,0,0,0,25.0,Red
Amy Simmons,Cape Verde,F,2762339151959,77,28.7,139,83,191,49,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
Roberta Harris,Cook Islands,M,2925250360224,52,40.6,132,85,280,56,0,0,0,0,0,0,0,0,0,0,0,15.0,Orange
Judy Vega,Macao,M,5633120585369,34,16.9,126,67,192,71,0,0,0,0,0,0,1,0,0,0,0,5.0,Green
Rebecca Allen,Micronesia,M,1184303849043,38,19.9,111,72,163,52,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Janet Martinez,Hong Kong,F,0645273557914,52,35.1,145,81,258,63,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Mark Morgan,Somalia,M,4445149699283,45,23.3,107,74,269,49,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Stacey Larson,Suriname,F,5283948718625,81,29.6,151,92,259,64,1,0,1,0,0,0,0,0,0,0,0,30.0,Red
Deborah Smith,Namibia,F,2695953830774,49,34.9,142,95,216,64,1,0,1,0,0,0,0,0,0,0,0,7.5,Green
Adam Yang,Iraq,M,3441541250221,40,35.1,151,90,202,40,1,0,1,0,0,0,0,0,0,0,0,7.5,Orange
Sheryl Mcdaniel,Netherlands Antilles,M,2726016954585,32,18.3,108,78,202,46,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Timothy Smith,Maldives,M,7887417097891,51,22.9,135,80,217,36,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Robert Stevens,Somalia,F,7973401960637,77,28.4,132,92,222,74,0,0,0,0,0,0,1,0,0,0,0,27.5,Red
Kayla Taylor,South Africa,M,1681478674932,60,18.3,154,92,273,32,1,0,1,0,0,0,0,0,0,1,0,27.5,Red
Ricky Padilla,Mali,M,8071005903698,35,34.2,159,91,171,57,1,0,1,0,0,0,0,0,0,0,0,5.0,Orange
Tanner Grant,Central African Republic,F,9249989085825,67,35.1,143,88,212,61,2,0,1,1,0,0,0,0,0,1,0,17.5,Orange
Marc Williams,Saint Helena,M,5146765075015,75,33.3,132,88,227,31,0,0,0,0,0,0,0,0,0,0,0,27.5,Red
Melissa Harrison,Kiribati,F,5663682669757,60,20.0,142,91,262,74,1,0,1,0,0,0,1,0,0,0,0,27.5,Red
Derrick York,Kiribati,F,1549594693537,27,17.8,126,83,220,37,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Eric Castro,American Samoa,M,4182355286905,77,36.8,124,93,183,58,1,0,1,0,0,0,0,0,0,1,0,17.5,Orange
Justin Flores,Western Sahara,M,4746974536829,65,33.8,139,86,227,31,0,0,0,0,0,0,0,0,0,0,0,22.5,Red
Michelle Rhodes,Lebanon,M,2960344870302,39,29.3,117,65,132,65,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Katherine Butler,Hong Kong,M,1902863342329,65,39.1,143,94,214,65,2,1,1,0,0,0,0,0,0,0,0,25.0,Red
Natalie Reed,Montenegro,F,7606563502451,69,14.7,142,95,181,48,2,1,1,0,0,0,0,0,0,1,0,25.0,Red
Kristen Suarez,Sweden,F,7255035617461,39,47.3,146,95,211,30,1,0,1,0,0,0,0,0,0,0,0,12.5,Green
Jessica Aguirre,Jordan,M,7929988305538,61,19.9,160,91,187,39,1,0,1,0,0,0,0,0,0,0,0,20.0,Orange
Courtney Franklin,Saudi Arabia,F,0435472213038,63,33.5,146,86,260,43,1,0,1,0,0,0,1,0,0,0,0,30.0,Red
Alicia Davis,Mozambique,F,6280230896084,61,37.8,155,82,220,46,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Marilyn Wright,Bangladesh,F,9028354518911,36,24.3,116,84,183,35,0,0,0,0,0,0,1,0,0,0,0,12.5,Green
Mr. Calvin Ward,Lao People's Democratic Republic,M,7650103013891,58,27.2,160,83,280,68,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Robert Garcia,Malaysia,F,8006741865856,40,45.3,120,84,170,53,1,0,1,0,0,0,0,0,0,0,0,1.0,Green
Kelly Wilson,Azerbaijan,F,7202199970475,28,26.3,126,85,190,73,1,1,0,0,0,0,0,0,0,0,0,5.0,Green
